name,tema-sany,teklipler
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,1,Ylym-bilim ulgamyny kämilleşdirmek ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,2,Hünäri öwretmegiň giň täzeçe usullaryny gözlemeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,3,Bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli hem-de okuwy tamamlan talyplary iş bilen üpjünçiligini göz öňünde tutmaly
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,4,Hünär-tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly hem-de salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagyna ýardam bermeli
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,17,Hünär-tehniki okuw mekdeplerinde uzak möhletli okuwlaryň başlanýan wagtyny hünär öwrenijileriň doly toplanan wagty ýylyň islendik wagtynda başladylmagyny ýola goýmaly 
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,2," Okatmagyň beýleki täze usullary bilen bilelikde ""Skaffold"" usulyny giňden ýaýratmak"
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,5,Ýurdumyzda halkara derejesine laýyk gelýän umumy bilim edaralarynyň sanyny artdyrmak
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,7,ÝUNESKO-nyň assosirlenen mekdepler toruna girizmek boýunça guramaçylyk işleriniň seneleýin meýilnamasyny taýýarlamaly
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,8,Ýurdumyzda  döwrebap hünär-tehniki okuw mekdeplerini gurmak.
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,9,Dünýäniň oňdebaryjy başlangyç bilim berýän hünär-tehniki okuw mekdepleriniň sanawyna girýän bilelikdäki okuw mekdeplerini döretmek
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,11,Ýokary derejeli başlangyç bilimili hünärmenleri we işçileri taýýarlamak işlerini ministrlikleri we pudak edaralary bilen bilelikde meýilleşdirmek                                                                                                            
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,13,"Müňýyllyklardan gözbaş alýan medeniýetimizi, edebiýatymyzy şöhratly taryhymyzy täze nazaryýet esasynda düýpli öwrenmek maksady bilen medeniýet we sungat işgärleri bilen talyplaryň arasynda duşuşyklary gurnamak"
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,15,Hünär-tehniki okuw mekdepleriniň maddy tehniki binýadyny täze tehnologiýalar we tehnikalar bilen üpjün etmek                         
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,1,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garap, onuň işini düýpli kämilleşdirmegiň meseleleri"
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,2,"Bilimiň gurluşyny we işini üýtgedip, onuň önümçilik hem işewürlik bilen özara arabaglanyşygyny pugtalandyrmagyň mehanizmlerini işläp taýýarlamak"
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,3,Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,4,Bilim bilen önümçiligiň işi doly utgaşdyrylýança Hünär tehniki bilimini býudjetden maliýeleşdirmeli
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,6,Bilimiň ähli basgançaklaryny ylmyň we tehnikanyň soňky gazanan tehniki-usuly serişdeler bilen üpjün edilmegini we mugallymlaryň bu tehnikalardan doly baş çykarmaklaryny gazanmaly
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,11,Senagatyň we halk hojalygynyň ähli ugurlarynda döwrebaptehnologiýalar merkezleriniň bolmagyny gazanmaly
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,15,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän  ýokary okuw mekdepleri bilen giň gerimleýin arabaglanşygy ýola goýmaly
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,17,"Mugallymlaryň yzygider seminarlaryny gurnap, halkara derejesine laýyklyk gelýän okuwyň usuliýetini hemişe okatmaly"
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,1,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garap, onuň işini düýpli kämilleşdirmegiň meseleleri"
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,1,"Gahryman Arkadagymyzyň  ýaşlar baradaky syýasatyny öňe sürmek, ýaşlar bilen işlemek"
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,2,"Bilimiň gurluşyny we işini üýtgedip, onuň önümçilik hem işewürlik bilen özara arabaglanyşygyny pugtalandyrmagyň mehanizmlerini işläp taýýarlamak"
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,2,Edara - kärhanalar bilen bilelikdäki Dual (ikitaraplaýyn) okuwy ýola goýmaly
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,3,Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,4,Bilim bilen önümçiligiň işi doly utgaşdyrylýança Hünär tehniki bilimini býudjetden maliýeleşdirmeli
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,4,Bilimiň döwlet edaralarynda maliýeleşdirilmegi güýçlendirmek we gowulandyrmak
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,5,"Mugallymlaryň yzygider seminarlaryny gurnap, halkara derejesine laýyklyk gelýän okuwyň usulyýetini hemişe okatmaly"
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,5,Ýaşlara dünýa dillerini çuňňur öwretýän gimnaziýalary açmak 
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,6,Bilimiň ähli basgançaklaryny ylmyň we tehnikanyň soňky gazanan tehniki-usuly serişdeler bilen üpjün edilmegini we mugallymlaryň bu tehnikalardan doly baş çykarmaklaryny gazanmaly
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,7,ÝUNESKO-nyň assosirlenen mekdepler toruna girizmek boýunça guramaçylyk işlerininiň seneleýin meýilnamasyny taýýarlamaly 
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,8,Senagatyň we halk hojalygynyň ähli ugurlarynda döwrebaptehnologiýalar merkezleriniň bolmagyny gazanmaly
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,9,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän  ýokary okuw mekdepleri bilen giň gerimleýin arabaglanşygy ýola goýmaly
Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,10,Çagalar edaralarynyň hem-de umumybilim berýän orta mekdepleriň sanyny artdyrmaly we bar bolanlarynyň (esasan oba ýerlerde)ýagdaýyny gowulandyrmagyny dowam etmeli
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,1,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garap, onuň işini düýpli kämilleşdirmegiň meseleleri"
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,1,"Dünýäniň bilimde, ylymda we tehnikada öňdebaryjy ýurtlarynyň tejribeliklerine esaslanmak"
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,2,"Bilimiň gurluşyny we işini üýtgedip, onuň önümçilik hem işewürlik bilen özara arabaglanyşygyny pugtalandyrmagyň mehanizmlerini işläp taýýarlamak"
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,2,"Standartlar, meýilnamalar we maksatnamalar önümçiligiň zerurlyklaryna esaslanylyp, önümçiligiň tejribeli wekilleriniň gatnaşmagynda taýýarlanylmagyny gazanmak"
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,2,Bilim bilen önümçiligiň arasynda yzygider tejribe alyşmagy ýola gaýmak
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,3,Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,4,Bilim bilen önümçiligiň işi doly utgaşdyrylýança Hünär tehniki bilimini býudjetden maliýeleşdirmeli
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,6,Bilimiň ähli basgançaklaryny ylmyň we tehnikanyň soňky gazanan tehniki-usuly serişdeler bilen üpjün edilmegini we mugallymlaryň bu tehnikalardan doly baş çykarmaklaryny gazanmaly
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,6,"Ugurdaş bilim edaralary, akademiki institutlar we öňdebaryjy ýurtlaryň ugurdaş bilim edaralary          bilen yzygider onlaýn we adaty seminarlaryň gurnalmagyny we tejrbe alyş-çalyşy ýola goýmak"
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,11,Senagatyň we halk hojalygynyň ähli ugurlarynda döwrebaptehnologiýalar merkezleriniň bolmagyny gazanmalyny gazanmaly
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,11,Önümçilik bilen arabaglanşygy kämilleşdirmeli we bilim bermegiň DUAL ulgamyna geçilmegini öňe            sürülýän wezipeleriň biri hökmünde kesgitlemek
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,15,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän  ýokary okuw mekdepleri bilen giň gerimleýin arabaglanşygy ýola goýmaly
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,15,"Hünär-tehniki bilimine döwletiň, işewürleriň we degiňli bolan önümçilik pudaklarynyň            hemaýatlarynyň gönüklendirilmegini gazanyp, hünär-tehniki okuw mekdepleriniň gurluşyny we işini döwrüň talabyna görä ýola goýmak"
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,17,Bilimiň ähli basgançaklarynda görkezilen tekliplerden ugur alyp gurluşynyn we we okadylyş usulyýetini halkara derejesine laýyklykda kämilleşdirmeli
Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,17,Bilimiň ähli basgançaklarynyň arasynda utgaşdyrylan arabaglanşygy giňeltmek
"Türkmenistanyň Telewideniýe, radiogepleşikler we kinematografiýa baradaky döwlet komitetiniň hünär-tehniki okuw mekdebi",6,Okuwyny tamamlaýan uçurymlara 3 taraplaýyn şertnama esaslanan ýollanmalar arkaly edara-kärhanalarynda iş bilen üpjünçiligi ýola goýmak
Ahal welaýat häkimliginiň 7-nji hünär-tehniki okuw mekdebi,1,"Ylym-bilim ulgamlaryny kämilleşdirmek, ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygider ýola goýmaly"
Ahal welaýat häkimliginiň 7-nji hünär-tehniki okuw mekdebi,2,Hünär öwretmegiň täzeçe usullaryny gözlemeli we tejribe alyşmaly
Ahal welaýat häkimliginiň 7-nji hünär-tehniki okuw mekdebi,4,Bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli
Ahal welaýat häkimliginiň 7-nji hünär-tehniki okuw mekdebi,6,"Hünär-tehniki okuw mekdepleriniň okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly, hemaýat etmeli"
Ahal welaýat häkimliginiň 7-nji hünär-tehniki okuw mekdebi,17,"Hünär-tehniki okuw mekdeplerine isleg birdirýän harby borçly ýaş raýat oglanlary, okuwyny doly tamamlandan soň harby gullugyna ibermekligi ýola goýmak"
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,1,"Ylym-bilim ulgamlaryny kämilleşdirmek, ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygider ýola goýmaly"
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,1,"Gahryman Arkadagymyzyň öňe süren tekliplerini durmuşa ornaşdyrmak bilen baglylykda wagyz-nesihat maslahataryny geçirmek, bu babatda köpçülikleýin habar beriş serişdelerinde professor-mugallymlaryň we talyplaryň çykyşlaryny guramak we gepleşikleri taýýarlamak"
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,2,Hünär öwretmegiň täzeçe usullaryny gözlemeli we tejribe alyşmaly
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,4,Bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,4,Hünär – tehniki okuw mekdeplerini ähli salgytlardan we ýygymlardan boşatmaly.
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,4,"Hünär – tehniki okuw mekdepleriniň Komunal töleglerini (tok, gaz, suw we ş.m) býujet bahadan töletmeli."
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,6,"Hünär-tehniki okuw mekdepleriniň okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly, hemaýat etmeli"
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,17,Hünär-tehniki okuw mekdeplerinde uzak möhletli okuwlaryň okuwynyň başlanýan wagtyny hünäre toparyň doly toplanan wagty ýylyň islendik wagtynda başlanmagyny ýola goýmaly
Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,17,Milli maslahatlaşmalarda öňe sürülen teklipleri durmuşa geçirmekligi hem-de ýurdumyzyň edara kärhanalarynda öz hünärleri boýunça başarnykly ýaşlary ýetişdirmekligi gazanmaly.
Ahal welaýatynyň Kaka etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,2,Hünär-tehniki okuw mekdeplerini tapawutly diplom bilen tamamlaýan    talyplary iş orunlary bilen üpjün etmek
Ahal welaýatynyň Kaka etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,3,"Hünär-tehniki  okuw mekdeplerine  okuwa kabul  edilen harby  gulluga   çagyrylmaga  degişli erkek  oglanlaryň okuwyny  doly  tamamlap ,degişli  hünäri  ele alanlaryndan soň harby gulluga  çagyrylmagyny  ýola gaýmak"
Ahal welaýatynyň Kaka etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,4,Hünär-tehniki  okuw mekdeplerini  salgytlaryň we ýygymlaryň ähli görnüşlerinden  boşatmak
Ahal welaýatynyň Kaka etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,6,Hünär-tehniki  okuw mekdeplerinde  her bir okadylýan hünär dersleri boýunça gollanmalary (elektron ýa-da çap edilen görnüşde)bilen üpjün etmek
Ahal welaýatynyň Sarahs etrap häkimliginiň 3-nji hünär-tehniki okuw mekdebi,1,Ylym-bilim ulgamyny kämilleşdirmek ýaşlar barada döwlet syýasaty  bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly
Ahal welaýatynyň Sarahs etrap häkimliginiň 3-nji hünär-tehniki okuw mekdebi,2,Hünäri öwrenmegiň täzeçe usullaryny görkezmeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly
Ahal welaýatynyň Sarahs etrap häkimliginiň 3-nji hünär-tehniki okuw mekdebi,3,Hünäri pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat goldow bermeli  
Ahal welaýatynyň Sarahs etrap häkimliginiň 3-nji hünär-tehniki okuw mekdebi,4,Hünär tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligi ýola goýmaly hem-de okuw töleglerini galdyrylmagy 
Ahal welaýatynyň Sarahs etrap häkimliginiň 3-nji hünär-tehniki okuw mekdebi,5,"Hünär tehniki okuw mekdeplerinde hünärleri açmak ""kitaphanaçy we arhiwçi"",""Buhgalter ykdysadyýetçi"""
”Türkmenobahyzmat” döwlet birleşiginiň “Ahalobahyzmat” önümçilik birleşiginiň Bäherden etrabyndaky hünär-tehniki okuw mekdebi,1,Berkarar döwletimiziň täze Galkynyşy döwrüne mynasyp nesilleri ýetişdirmekde alnyp barylýan işlerine salgylanmak 
”Türkmenobahyzmat” döwlet birleşiginiň “Ahalobahyzmat” önümçilik birleşiginiň Bäherden etrabyndaky hünär-tehniki okuw mekdebi,2,Hünär-tehniki okuw mekdepleriniň arasynda degişli işleriň alnyp barylýandygyny özara baglanyşyklaryny saklamak
”Türkmenobahyzmat” döwlet birleşiginiň “Ahalobahyzmat” önümçilik birleşiginiň Bäherden etrabyndaky hünär-tehniki okuw mekdebi,3,Watan gullugyna gitmedik talyp oglanlary okuwy tamamlanýança harby borçlylykdan boşadylmagy
”Türkmenobahyzmat” döwlet birleşiginiň “Ahalobahyzmat” önümçilik birleşiginiň Bäherden etrabyndaky hünär-tehniki okuw mekdebi,4,Hünär okuw ulgamyny zähmet bazary bilen hemişe arabaglanyşygy  saklap ykdysady ösüşiň talaplary bilen deň hereket etmegi
Ahal welaýat häkimliginiň 5-nji hünär-tehniki okuw mekdebi,1,Ylym-bilim ulgamyny kämilleşdirmek ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly
Ahal welaýat häkimliginiň 5-nji hünär-tehniki okuw mekdebi,2,Hünäri öwretmegiň giň täzeçe usullaryny gözlemeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly
Ahal welaýat häkimliginiň 5-nji hünär-tehniki okuw mekdebi,3,Bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli hem-de okuwy tamamlan talyplary iş bilen üpjünçiligini göz öňünde tutmaly
Ahal welaýat häkimliginiň 5-nji hünär-tehniki okuw mekdebi,4,Hünär-tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly hem-de salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagyna ýardam bermeli
Ahal welaýat häkimliginiň 5-nji hünär-tehniki okuw mekdebi,17,Hünär-tehniki okuw mekdeplerinde uzak möhletli okuwlaryň başlanýan wagtyny hünär öwrenijileriň doly toplanan wagty ýylyň islendik wagtynda başladylmagyny ýola goýmaly 
Ahal welaýat häkimliginiň 6-njy hünär-tehniki okuw mekdebi,1,Ylym-bilim ulgamyny kqmilleşdirmek ýaşlar barada döwlet syýasaty  bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly
Ahal welaýat häkimliginiň 6-njy hünär-tehniki okuw mekdebi,2,Hünäri öwrenmegiň täzeçe usullaryny görkezmeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly
Ahal welaýat häkimliginiň 6-njy hünär-tehniki okuw mekdebi,3,Hünäri pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat goldow bermeli  
Ahal welaýat häkimliginiň 6-njy hünär-tehniki okuw mekdebi,4,Hünär tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligi ýola goýmaly hem-de okuw töleglerini galdyrylmagy 
Ahal welaýat häkimliginiň 6-njy hünär-tehniki okuw mekdebi,6,"Hünär tehniki okuw mekdeplerinde hünärleri açmak ""kitaphanaçy we arhiwçi"",""Buhgalter ykdysadyýetçi"""
